0x2B5D9F7D ; ror9.ExitThread
0x43DECCCA ; ror9.LoadLibraryA
0x7F35AD1C ; ror9.VirtualAlloc
0x72459F8E ; ror9.GetProcAddress
0x7972C5D4 ; ror9.CreateProcessA
0xCAD6A68B ; ror9.WaitForSingleObject
0xFAFDEEE7 ; ror9.CreateFileA
0xE0BBEE0F ; ror9.WriteFile
0xB790B3D1 ; ror9.CloseHandle
0x15E7650A ; ror9.WinExec
0x96669F02 ; ror9.ExitProcess
0xB790B3D1 ; ror9.CloseHandle
0xAD5BCAAC ; ror9._hwrite
0x6CFD49EB ; ror9._lclose
0x63FACABA ; ror9._lcreat
0xF5940E54 ; ror9._lopen
0xF3914EAA ; ror9._lread
0xAD7BCAAC ; ror9._lwrite
0x31994EB6 ; ror9.recv
0x37194EC4 ; ror9.send
0x6B214CDA ; ror9.accept
0x371A4CA4 ; ror9.bind
0xC5FD0ED4 ; ror9.listen
0xC0BE1A29 ; ror9.WSASocketA
0xA169DB38 ; ror9.WSAStartup
0x31994EB6 ; ror9.recv
0x37194EC4 ; ror9.send
0x1512DA3B ; ror9.connect
0x67DAF394 ; ror9.VirtualFree
0x80B3EE53 ; ror9.VirtualQuery
0xCCF7DCE1 ; ror9.VirtualProtect
0x082C8C25 ; ror9.WriteProcessMemory
0x8D6B09CA ; ror9.NtOpenFile
0x2327D645 ; ror9.NtCreateSection
0x79D6DD92 ; ror9.NtMapViewOfSection
0xCDF47CCC ; ror9.getpeername
0x57119CCC ; ror9.URLDownloadToFileA
0xF4B26834 ; ror9.GetModuleHandleA
0x6BD8DA79 ; ror9.GetTempPathA
0x04AE8118 ; ror9.GetFileSize
0x702EBAC6 ; ror9.TerminateProcess
0xFAFDEEFD ; ror9.CreateFileW
0xB89D7891 ; ror9.SetFilePointer
0x7923DDCF ; ror9.ReadFile
0xCA370B0C ; ror9.GetCommandLineA
0xEAA034FB ; ror9.GetModuleFileNameA
0xEF339138 ; ror9.LoadLibraryExA
0x38A33EE4 ; ror9.URLDownloadToCacheFile

# harmony http://scriptjunkie1.110mb.com/hashes/index.html
0x528796C6 ; harmony.CloseHandle
0xE27D6F28 ; harmony.ConnectNamedPipe
0x4FDAF6DA ; harmony.CreateFileA
0x863FCC79 ; harmony.CreateProcessA
0xB7BA31C8 ; harmony.CreateProcessAsUserW
0xFCDDFAC0 ; harmony.DisconnectNamedPipe
0x56A2B5F0 ; harmony.ExitProcess
0x0A2A1DE0 ; harmony.ExitThread
0x7802F749 ; harmony.GetProcAddress
0x0726774C ; harmony.LoadLibraryA
0xE553A458 ; harmony.VirtualAlloc
0x601D8708 ; harmony.WaitForSingleObject
0x876F8B31 ; harmony.WinExec
0x5BAE572D ; harmony.WriteFile
0xE97E5FF6 ; harmony.hwrite
0xF58DFFAC ; harmony.lclose
0xE2065B2C ; harmony.lcreat
0x77A22050 ; harmony.lopen
0x61524F50 ; harmony.lread
